song_id,song_name,popularity,danceability,energy,valence,acousticness,speechiness,artists,is_billboard
6Gg25EZRbQd4IHiJz2KSY0,Testimony,60,0.814,0.667,0.376,0.0369,0.36,Kodak Black,True
01jIO8SJFnpSiNLH1JaBZ5,You,70,0.735,0.453,0.335,0.413,0.0602,Jacquees,True
43zdsphuZLzwA9k4DJhU0I,when the party's over,87,0.367,0.111,0.198,0.978,0.0972,Billie Eilish,False
6viHvc13l9A6Ua6xugpeX6,Last Shot,65,0.487,0.859,0.377,0.00204,0.0488,Kip Moore,True
7pdF27mSDuPWhppnHAmWHa,whoa (mind in awe),74,0.735,0.525,0.369,0.653,0.0441,XXXTENTACION,True
2rxQMGVafnNaRaXlRMWPde,Beautiful Crazy,79,0.552,0.402,0.382,0.676,0.0262,Luke Combs,False
5274I4mUMnYczyeXkGDWZN,Fine China,77,0.656,0.542,0.551,0.0484,0.323,"Future, Juice WRLD",True
34DFpyq5NJJ79GnGbbJH3p,This Is It,71,0.557,0.511,0.602,0.254,0.0291,Scotty McCreery,True
25sgk305KZfyuqVBQIahim,Sweet but Psycho,86,0.719,0.704,0.628,0.0691,0.0476,Ava Max,False
05t7JMip6JrLuSrMV5yYjX,Envy Me,79,0.556,0.481,0.581,0.282,0.313,Calboy,False
7lAK3oHbfEnvUQWosrMMpR,YOSEMITE,78,0.785,0.554,0.144,0.283,0.0409,Travis Scott,True
68JS5SFTnW5Yv9Vzw81Jf0,Millionaire,67,0.602,0.463,0.454,0.165,0.0279,Chris Stapleton,True
3Ol2xnObFdKV9pmRD2t9x8,Look Back at It,81,0.791,0.587,0.536,0.407,0.0413,A Boogie Wit da Hoodie,False
6XcfKZvJio9Z0fQy11GnNX,broken,73,0.666,0.728,0.51,0.00175,0.0419,lovelytheband,True
7uqcLJFlSYjVPLUz1vPxkY,Guardian angel,67,0.712,0.374,0.779,0.795,0.511,XXXTENTACION,True
5OCJzvD7sykQEKHH7qAC3C,God is a woman,80,0.602,0.658,0.268,0.0233,0.0558,Ariana Grande,True
4axYWgXASdsCBHuwInAubT,I don’t let go,66,0.797,0.293,0.478,0.591,0.08,XXXTENTACION,True
5lar0mCUejpILVkAz50s2J,Train food,61,0.492,0.712,0.23,0.564,0.691,XXXTENTACION,True
57nOpVSc3j9o03Cr928ZM4,what are you so afraid of,66,0.639,0.312,0.347,0.774,0.0301,XXXTENTACION,True
4KpKyRFwN0gcwj58Uqjv7q,STARING AT THE SKY,62,0.557,0.338,0.689,0.134,0.0257,XXXTENTACION,True
07FkzikE6FuHIa8Ma7zJGc,Lie,76,0.753,0.66,0.182,0.161,0.133,NF,True
5itzep0nGnq7hxCfFNsTIR,difference (interlude),63,0.593,0.0668,0.19,0.949,0.0722,XXXTENTACION,True
