song_id,song_name,popularity,danceability,energy,valence,acousticness,speechiness,artists,is_billboard
5XFu5S1vBY7sNHlheCapOz,Strip It Down,62,0.629,0.878,0.714,0.392,0.0443,Luke Bryan,True
0fYVliAYKHuPmECRs1pbRf,Renegades,72,0.526,0.862,0.528,0.0144,0.0905,X Ambassadors,True
2SnNaoNhMjC1WRMTWD8qTX,Mark My Words,59,0.416,0.258,0.532,0.898,0.0333,Justin Bieber,True
3jSyE8r8vgg8fmwojoMzql,Already Callin' You Mine,51,0.59,0.887,0.679,0.0504,0.0353,Parmalee,True
422lAAWQO9TqL1LxIPdhOn,Random,60,0.607,0.783,0.182,0.0036,0.139,G-Eazy,True
0H04yVa3DJxoXbLBpAb7iV,I'm Comin' Over,68,0.575,0.845,0.376,0.0282,0.035,Chris Young,True
1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,82,0.614,0.379,0.201,0.607,0.0476,Ed Sheeran,True
3DR9erpCCk10AiF7kVGmDk,How Deep Is Your Love,0,0.667,0.573,0.139,0.0499,0.0495,2015 Pop Prince,False
62gFelpaDV9TPR4AybUfjK,Girls Just Want to Have Fun,15,0.507,0.223,0.392,0.924,0.0361,Madi Davis,False
3y1t2sEahs8idFz2tiYNPO,Let Me See Ya Girl,60,0.523,0.834,0.445,0.254,0.0281,Cole Swindell,True
7GgQi7JTG4b6J4iEF4RTjF,Remedy,60,0.396,0.305,0.251,0.891,0.0387,Adele,True
4yWCzA44dQyp0SoeM81bUb,Life Is Worth Living,60,0.416,0.301,0.494,0.915,0.0619,Justin Bieber,True
36phXHOKx8rO7CMp2vNX4x,Love Myself,72,0.617,0.759,0.324,0.0026,0.0677,Hailee Steinfeld,True
2onCHFrhTinyUc6OawwU4Z,Rich $ex,51,0.758,0.482,0.0977,0.148,0.168,Future,True
5ZManJDV3CexO66nRCkdiV,Break Up with Him,64,0.615,0.632,0.56,0.0685,0.0374,Old Dominion,True
7sK3nu6yk8urQ44ouEB7Au,Children,56,0.63,0.884,0.304,0.0114,0.338,Justin Bieber,True
6gcA4zzG6FnMEgPSDKbAMs,Been You,56,0.736,0.794,0.854,0.0255,0.077,Justin Bieber,True
5CRVwXGikmqzoRO6q7FeAg,If I Could Fly,66,0.565,0.245,0.307,0.781,0.0262,One Direction,True
5dONhl6aXFuN86UBdayF6W,Olivia,66,0.64,0.681,0.676,0.0438,0.0334,One Direction,True
4AMnUGvZUVJgDuY7rOPzUZ,Get Used To It,54,0.675,0.689,0.463,0.0237,0.0536,Justin Bieber,True
5omYVLodGmaxnhua99xIE8,A.M.,63,0.586,0.527,0.506,0.227,0.0309,One Direction,True
2Xcvt8NRLw0xbB3ClfW8MI,Temporary Fix,57,0.556,0.902,0.96,9.17e-05,0.0449,One Direction,True
00IH8ZjI9ZGB51WRX1Oesj,Trust,52,0.609,0.487,0.474,0.067,0.168,Justin Bieber,True
7rdP71W8x4UbJ0KAKBACbo,Never Enough,59,0.579,0.779,0.587,0.0379,0.0512,One Direction,True
0kzw2tRyuL9rzipi5ntlIy,Shut Up and Dance,78,0.578,0.866,0.619,0.00701,0.0619,WALK THE MOON,True
34gCuhDGsG4bRPIf9bb02f,Thinking out Loud,81,0.781,0.445,0.591,0.474,0.0295,Ed Sheeran,True
37f4ITSlgPX81ad2EvmVQr,Fight Song,77,0.564,0.714,0.33,0.0549,0.129,Rachel Platten,True
1PWnAEQcbwQwK759otUbta,Writing's On The Wall,66,0.261,0.302,0.0883,0.769,0.0339,Sam Smith,False
46ZfPS5VpSQVU5gb82hg3K,Anything Goes,65,0.462,0.977,0.746,0.00172,0.045,Florida Georgia Line,True
2zFF6jG5hQArbzcXz3KUWk,Cool for the Summer,69,0.584,0.614,0.28,0.00506,0.0363,Demi Lovato,True
2BqQQXuBOuhaWeUP7okEx0,Comfortable,65,0.775,0.417,0.608,0.72,0.0974,K CAMP,True
6wfTb2he5ANMQSFnlamnyi,Save It for a Rainy Day,59,0.538,0.775,0.614,0.0053,0.0291,Kenny Chesney,True
178OI1A3qjROeFeh8lmNwW,Traveller,63,0.543,0.75,0.758,0.0682,0.0282,Chris Stapleton,True
1i1rNVtxbE7rdFfpHuNq2j,Hold My Hand,62,0.642,0.823,0.431,0.00159,0.0289,Jess Glynne,False
6pf9datdAtxQj4EU8UYHSx,Levels,58,0.432,0.656,0.66,0.0488,0.428,Nick Jonas,True
7oGZAicScQt96OAW4AruYy,Want to Want Me,74,0.775,0.68,0.656,0.00906,0.0629,Jason Derulo,True
2iuZJX9X9P0GKaE93xcPjk,Sugar,77,0.748,0.788,0.884,0.0591,0.0334,Maroon 5,True
6V3wTb4VVDWRw3YEDgc6Py,Used to Love You Sober,60,0.525,0.674,0.431,0.0405,0.0282,Kane Brown,False
6C2XDnr9B6obGMVhHS1Nmo,Gonna Wanna Tonight,58,0.584,0.79,0.691,0.0444,0.0412,Chase Rice,True
4T0ScSPdQKmGvruK7pavNP,"Flex (Ooh, Ooh, Ooh)",56,0.726,0.607,0.891,0.0389,0.0498,Rich Homie Quan,False
0dwudL6pM7zLO7MSUxMUYd,Lose My Mind,50,0.68,0.755,0.824,0.0206,0.029,Brett Eldredge,False
4jTiyLlOJVJj3mCr7yfPQD,This Could Be Us,70,0.718,0.692,0.721,0.275,0.148,Rae Sremmurd,False
77CmG7yRD68NZmOMikeM29,"John Cougar, John Deere, John 3:16",41,0.694,0.779,0.594,0.0688,0.071,Keith Urban,True
1klGbW5a9qTBFUjFfddbmU,Can't Sleep Love,59,0.73,0.433,0.572,0.0849,0.0455,Pentatonix,False
1TwLKNsCnhi1HxbIi4bAW0,House Party,71,0.747,0.861,0.859,0.113,0.0514,Sam Hunt,True
1Ji5c0euTJ0kzJ1vqKJy1B,Fly,38,0.512,0.68,0.26,0.606,0.0278,Maddie & Tae,True
2HklyUw3TR56nVyVJAIhw5,Love Me,58,0.633,0.8,0.909,0.00689,0.0357,The 1975,True
5PUawWFG1oIS2NwEcyHaCr,Uma Thurman,68,0.623,0.956,0.739,0.119,0.0753,Fall Out Boy,True
6y35xDJFzpy1FIa6qCMA59,Buy Me a Boat,58,0.574,0.745,0.693,0.319,0.0507,Chris Janson,False
2ACys0pX0SjmpQmQWzp7wt,Jersey,58,0.758,0.526,0.312,0.509,0.255,Future,True
1MSM3Fo2fvnwVqMcz8Jhjq,Cecilia And The Satellite,59,0.381,0.844,0.239,0.0131,0.144,Andrew McMahon in the Wilderness,True
44aN5xKL3kGHvQ5bXVk6B8,Ghost Town,63,0.703,0.736,0.274,0.186,0.046,Adam Lambert,True
6N5xh0tYYLTQRiCCaNbAUt,Infinity,62,0.537,0.705,0.32,0.0687,0.0337,One Direction,True
5y6pj7OeBFF0CVgZKhRbOG,Black Magic,75,0.777,0.895,0.826,0.0348,0.0618,Little Mix,True
1DmnEYXa4WfbdhAPwNzgD8,30 for 30 Freestyle,52,0.707,0.619,0.317,0.671,0.409,Drake,True
5g15o2Sm55Hn9ShK5yEXgp,Kick The Dust Up,65,0.596,0.855,0.811,0.197,0.0474,Luke Bryan,True
4MflGTO2ZTcSQ12bWcyRgI,"Honey, I'm Good.",69,0.752,0.775,0.595,0.0324,0.0546,Andy Grammer,True
6YkynE63ukqWqd1SWawLPC,Crash and Burn,43,0.687,0.777,0.808,0.0787,0.0311,Thomas Rhett,True
3iVcZ5G6tvkXZkZKlMpIUs,Alright,68,0.796,0.766,0.558,0.0742,0.238,Kendrick Lamar,True
1mhVXWduD8ReDwusfaHNwU,Tell Your Friends,64,0.565,0.454,0.312,0.265,0.0461,The Weeknd,True
4x7Di9FZJXJoxHjLxjImmp,Hell Of A Night,57,0.499,0.797,0.591,0.00472,0.0402,Dustin Lynch,True
5fsQSDifYpjfbCqvZKPVBj,She's Kinda Hot,65,0.664,0.908,0.889,0.00182,0.0317,5 Seconds of Summer,True
2ssYQKMqVUkoQgi02PmDPB,About You,54,0.582,0.564,0.718,0.0959,0.0837,Trey Songz,True
5NUvj4WX2tAQGxOF4CWJ7I,Real Life,52,0.654,0.749,0.774,0.00195,0.0257,Jake Owen,False
7jDOx9VTvxq0S9z8RjQ7lv,Should’ve Been Us,48,0.65,0.766,0.467,0.00408,0.119,Tori Kelly,True
69XcvSymPaTke2Qb6f3W6P,Loving You Easy,64,0.722,0.593,0.326,0.017,0.0269,Zac Brown Band,True
03j354P848KtNU2FVSwkDG,Real Life,59,0.581,0.653,0.346,0.438,0.0506,The Weeknd,True
3EofjRgUI1WrzqqtLb8NoF,Cheyenne,54,0.554,0.768,0.324,0.0126,0.127,Jason Derulo,True
6C6fHTuFUxVtJpBOOaMvJr,Shameless,63,0.603,0.562,0.244,0.146,0.0267,The Weeknd,True
75u9uswC5UMdtv4SQ3xSYf,The Night Is Still Young,56,0.656,0.692,0.693,0.00212,0.0563,Nicki Minaj,True
4GITtbZtRCQXhWLMXrWXHt,Roots,63,0.63,0.889,0.639,0.691,0.246,Imagine Dragons,False
6ll39ALTlddWWQZLjSFlwM,Young & Crazy,56,0.61,0.876,0.783,0.0247,0.0394,Frankie Ballard,True
6U0D8PIh75fnX6T6TWJLxl,Jet Black Heart,59,0.507,0.85,0.545,0.000163,0.033,5 Seconds of Summer,True
0Cy7wt6IlRfBPHXXjmZbcP,Love Me Like You Do,58,0.489,0.597,0.324,0.27,0.0292,Ellie Goulding,True
0PT7nlpo11hYYyfnBgtilT,Nasty Freestyle,62,0.779,0.472,0.412,0.0577,0.218,T-Wayne,False
6KIKRz9eSTXdNsGUnomdtW,Straight Outta Compton,68,0.833,0.874,0.414,0.0495,0.155,N.W.A.,True
5RGXoZt1qxmAErdhbyKJKq,Boyz-N-The-Hood,61,0.785,0.479,0.727,0.0417,0.362,Eazy-E,False
0p1HtkrNYxv0iDfEKwXSTp,Sangria,65,0.646,0.724,0.54,0.017,0.0265,Blake Shelton,True
6jRcSR1kOPWJYisvkFfjUV,Kiss You in the Morning,51,0.557,0.909,0.857,0.00769,0.0423,Michael Ray,False
5LPkLveErawyu1XDAGXHOj,One Hell Of An Amen,41,0.547,0.664,0.551,0.0139,0.028,Brantley Gilbert,True
7g3htkaLz4ETFn0cifwM3y,High By The Beach,65,0.536,0.486,0.0968,0.244,0.0346,Lana Del Rey,True
76KSuYo2WyVweK1h5j3DlL,I'm To Blame,24,0.695,0.886,0.891,0.281,0.036,Kip Moore,True
7cgu4JBW3hq1GwTM1ilkKQ,Talking Body,65,0.736,0.761,0.114,0.0966,0.0338,Tove Lo,True
6hr4weuSidHy2LNMw8UVJ2,Like A Wrecking Ball,61,0.691,0.336,0.613,0.35,0.0392,Eric Church,True
6Ius4TC0L3cN74HT7ENE6e,Wet Dreamz,76,0.504,0.705,0.584,0.0752,0.364,J. Cole,True
5pgx4Q33u1c1jlpE64WVGY,Tonight Looks Good on You,36,0.484,0.754,0.52,0.237,0.0532,Jason Aldean,True
4KpbopdresVvdhe0qUTmj6,Fly Away,46,0.432,0.887,0.513,0.000762,0.0533,5 Seconds of Summer,True
1mRBJdpIgc3jZH8C3cN2WV,If Only,64,0.477,0.6,0.29,0.271,0.0324,Dove Cameron,False
4z0PnuB07fxtVZZRWsCfxb,100 Grandkids,61,0.735,0.749,0.373,0.371,0.0874,Mac Miller,False
6DEaND0SHv3sC11xobZLiy,Take Your Time,67,0.558,0.719,0.483,0.101,0.0419,Sam Hunt,True
4NYwy0R3NdvORX2B6OZXBT,Slow Motion,70,0.733,0.408,0.291,0.679,0.0388,Trey Songz,True
4pc01CAhGKx15PY23uPjHp,Charged Up,45,0.468,0.693,0.308,0.909,0.553,Drake,False
2QVzUws1l5mzZ4v46tGHrC,Love You Like That,62,0.561,0.756,0.702,0.0127,0.0287,Canaan Smith,False
0xNNvfO88tm2hPLyMWoNBe,This Summer's Gonna Hurt…,0,0.667,0.126,0.247,0.941,0.0445,Molotov Cocktail Piano,False
3yMVUGqVK5iTTkA8kGChH2,Crushin' It,54,0.595,0.823,0.745,0.0385,0.0483,Brad Paisley,True
11qh54D0PKkBwelpDxxiEU,Girl Crush,66,0.5,0.225,0.355,0.842,0.0302,Little Big Town,True
6kwAbEjseqBob48jCus7Sz,Elastic Heart,69,0.421,0.791,0.499,0.0117,0.0496,Sia,True
0cqRj7pUJDkTCEsJkx8snD,Shake It Off,75,0.649,0.795,0.915,0.059,0.163,Taylor Swift,True
7IJyNRUZlKJJn9BfBBUgzh,Fire N Gold,55,0.54,0.858,0.409,0.00404,0.0435,Bea Miller,True
0knbW9EwgSLfNFMWys1mQm,Love Me Like You Mean It,55,0.645,0.84,0.805,0.0452,0.0518,Kelsea Ballerini,True
3WKg25vrbjJlkhsgl2W4p3,Bright,61,0.646,0.431,0.292,0.637,0.0262,Echosmith,True
2TeLIzFBe3hxkPR5FIQZut,Like I Can,70,0.656,0.627,0.481,0.343,0.0379,Sam Smith,True
2MpN7T3aS9v0lkITtrBsbt,Baby Be My Love Song,32,0.488,0.713,0.483,0.0569,0.0472,Easton Corbin,True
0H9Q7Vzu8nYRDBZYKbtU8d,Sippin’ On Fire,59,0.478,0.929,0.749,0.0051,0.032,Florida Georgia Line,True
6ycYqFnXnjMOwMvEMbEpUk,Blow a Bag,53,0.793,0.607,0.15,0.218,0.082,Future,True
3bnVBN67NBEzedqQuWrpP4,Tear in My Heart,71,0.655,0.632,0.447,0.0189,0.0489,Twenty One Pilots,True
3biFdxByHgUhTbp2dG89zK,Dance Like We're Making Love,53,0.721,0.541,0.263,0.063,0.0659,Ciara,True
0ug5NqcwcFR2xrfTkc7k8e,Style,67,0.592,0.801,0.502,0.00264,0.0372,Taylor Swift,True
4iLPK8QnOvqm0Azbsk2GDn,Don't It,63,0.573,0.824,0.668,0.0484,0.0373,Billy Currington,True
4lnnde7PnrXR3pUzQKBe6X,Little Toy Guns,52,0.434,0.868,0.204,0.00407,0.0603,Carrie Underwood,True
0PGLRTN0X6DrXh645WJCIY,I Really Like You,64,0.622,0.808,0.599,0.00543,0.0418,Carly Rae Jepsen,False
1GssKKu8x17zi6eTSHzPj8,Love Is Your Name,40,0.497,0.833,0.345,0.00948,0.0408,Steven Tyler,True
5j0QRtvWhj51ktyMLyiABg,Smoke,33,0.442,0.792,0.403,0.0388,0.0286,A Thousand Horses,True
7GJClzimvMSghjcrKxuf1M,Budapest,75,0.714,0.451,0.406,0.0883,0.0276,George Ezra,True
1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,76,0.752,0.708,0.546,0.0824,0.0525,Taylor Swift,True
6vMpPxLV0F5Diwcs6awI1Z,coffee,52,0.556,0.618,0.121,0.00558,0.0463,Miguel,True
5InOp6q2vvx0fShv3bzFLZ,Know Yourself,65,0.735,0.41,0.164,0.19,0.2,Drake,True
3cU2wBxuV6nFiuf6PJZNlC,Dear Future Husband,69,0.655,0.782,0.832,0.375,0.185,Meghan Trainor,True
7xoUc6faLbCqZO6fQEYprd,One Last Time,79,0.628,0.593,0.104,0.093,0.0323,Ariana Grande,True
79XrkTOfV1AqySNjVlygpW,Energy,68,0.743,0.571,0.571,0.329,0.505,Drake,True
1jk9c0gZI0wbn5GvAj7PBV,Check,63,0.667,0.581,0.368,0.0428,0.323,Young Thug,True
64GRDrL1efgXclrhVCeuA0,Lay Me Down,75,0.468,0.19,0.326,0.919,0.0373,"John Legend, Sam Smith",False
1Uon2YOOphIt6uuI9zBuNg,Sparks,44,0.847,0.882,0.793,0.0416,0.0551,Hilary Duff,True
3OgZdIAHaDMOtYq8Z5iCQ5,Believe,59,0.332,0.667,0.378,0.0308,0.0456,Mumford & Sons,True
6q5vZHAzu2uSWu7qYKSse0,Flicka Da Wrist,43,0.949,0.387,0.558,0.043,0.352,Chedda Da Connect,False
1XFJvxujm9kUWGaEYUiUnz,Time Of Our Lives,0,0.871,0.68,0.635,0.37,0.391,2015 Global Pop,False
0w5pghaDUcG3hRPJaOHlLc,Chains,51,0.539,0.605,0.136,0.015,0.0442,Nick Jonas,False
4S7YHmlWwfwArgd8LfSPud,L$D,72,0.598,0.252,0.0352,0.193,0.0647,A$AP Rocky,True
4e5lEqydMatcEio6ef9Dpf,Phenomenal,59,0.64,0.841,0.0471,0.153,0.0466,Eminem,False
7D8owkEcXNUzBytQY0QMPj,"Ulay, Oh",37,0.492,0.392,0.488,0.92,0.0336,How I Became the Bomb,False
6RxJ4pvcFukcCO1gIWEepw,Get Low,27,0.727,0.883,0.57,0.0264,0.0618,2014 Red Hot Records,False
5jE48hhRu8E6zBDPRSkEq7,All About That Bass,67,0.807,0.887,0.961,0.0573,0.0503,Meghan Trainor,True
1qwnPVOIJjAFfCc40Etb1D,Homegrown,68,0.717,0.796,0.942,0.0189,0.0303,Zac Brown Band,True
7FC9Lng8iXU081lbigu8m8,Heartbeat Song,65,0.49,0.798,0.479,0.0137,0.0489,Kelly Clarkson,True
20lNo44eUUCnyNNInzwkv9,I Bet,55,0.743,0.618,0.285,0.076,0.0732,Ciara,True
0N3W5peJUQtI4eyR6GJT5O,King Kunta,71,0.884,0.657,0.489,0.00589,0.0977,Kendrick Lamar,True
3dYD57lRAUcMHufyqn9GcI,Take Me To Church,77,0.561,0.667,0.385,0.586,0.0508,Hozier,True
1B17jo7XD3lJ9AtrdE9kUd,She Don't Love You,55,0.36,0.333,0.17,0.335,0.0285,Eric Paslay,False
085lgcfCstjd3AjWDAt2OX,Games,54,0.516,0.886,0.882,0.179,0.104,Luke Bryan,True
7795WJLVKJoAyVoOtCWqXN,I'm Not The Only One,80,0.677,0.485,0.493,0.529,0.0361,Sam Smith,True
16PNN9wK1LbedzcTp7y8y0,A Guy Walks Into a Bar,57,0.428,0.78,0.431,0.083,0.0373,Tyler Farr,True
0qt5f5EL92o8Snzopsv0en,Geronimo,62,0.705,0.78,0.457,0.456,0.0805,Sheppard,True
2sE61ZmvYH8wiOx5jygkHH,Say You Do,54,0.477,0.737,0.468,0.122,0.0345,Dierks Bentley,True
0oPDrdHQwkjaT0aytZavUO,Nothing Without Love,49,0.565,0.73,0.408,0.0879,0.031,Nate Ruess,True
1nHP9wEZ5Dq8XDsPB4QVbU,Beautiful Life,36,0.578,0.903,0.416,0.073,0.0533,Nick Fradiani,True
6gj08XDlv9Duc2fPOxUmVD,Lips Are Movin,65,0.775,0.825,0.95,0.0506,0.0464,Meghan Trainor,True
3OZVqx1YsqDDkxQ6TnmHtn,Ain't Worth the Whiskey,60,0.432,0.738,0.503,0.042,0.0309,Cole Swindell,True
34fkQYZUIXOsI2xNxEZbTO,Nobody Love,44,0.754,0.716,0.571,0.00606,0.0349,Tori Kelly,True
0bHA8LApeZHv7ZlhVUWg8X,American Oxygen,58,0.233,0.74,0.503,0.047,0.151,Rihanna,False
12d5QFwzh60IIHlsSnAvps,10 Bands,63,0.835,0.756,0.87,0.23,0.382,Drake,True
04aAxqtGp5pv12UXAg4pkq,Centuries,77,0.385,0.866,0.551,0.004,0.0697,Fall Out Boy,True
7IzurnmQLvZmMDJcpITUyt,Infinity,41,0.552,0.814,0.21,0.0434,0.0804,Mariah Carey,True
1ID1QFSNNxi0hiZCNcwjUC,Legend,67,0.715,0.561,0.297,0.024,0.0721,Drake,True
6TzJLISIitIzn1WtjDY0Op,Hallelujah,64,0.578,0.886,0.615,0.011,0.0633,Panic! At The Disco,True
7yq4Qj7cqayVTp3FF9CWbm,Riptide,76,0.484,0.731,0.51,0.431,0.0379,Vance Joy,True
4QAXLB2Hkx3n7LbOFxD34h,Drinking Class,64,0.663,0.53,0.269,0.0886,0.0301,Lee Brice,True
4sl4UWqzHSG7riBKdralwy,Little Red Wagon,54,0.584,0.813,0.774,0.0297,0.0582,Miranda Lambert,True
2RqtfcLB7iOZj0zYB8Auhu,Jealous,64,0.7,0.701,0.38,0.013,0.161,Nick Jonas,True
5Nm9ERjJZ5oyfXZTECKmRt,Stay With Me,81,0.418,0.42,0.184,0.588,0.0414,Sam Smith,True
2j79NtwxoWDmkiH4MGwdLq,Lonely Eyes,58,0.657,0.674,0.336,0.0326,0.0319,Chris Young,True
7rlCeTnjn0plPZkVAcctPZ,Bills,60,0.699,0.747,0.683,0.274,0.0964,LunchMoney Lewis,False
15WoYaFanAymIZuebfxvOt,Homegrown Honey,54,0.658,0.913,0.864,0.12,0.0511,Darius Rucker,True
3Te8uLyit6X3ncNW8Fp3K2,Immortals,71,0.613,0.874,0.543,0.00139,0.0697,Fall Out Boy,True
6K5xY7EabiBLjd2HuBQIak,Goodbye,51,0.712,0.694,0.643,0.05,0.0479,Who Is Fancy,False
2bL2gyO6kBdLkNSkxXNh6x,Animals,71,0.279,0.742,0.328,0.000185,0.0898,Maroon 5,True
5O2P9iiztwhomNh8xkR9lJ,Night Changes,73,0.672,0.52,0.37,0.859,0.0353,One Direction,True
0ct0vSOkP0IZnbPGiDltCR,I Bet My Life,60,0.545,0.659,0.599,0.367,0.0394,Imagine Dragons,True
2JI71GHwq2LN8mtq3iCLYo,CoCo,62,0.886,0.628,0.178,0.00215,0.131,O.T. Genasis,False
1HNs07uZxZniPNmniw2GTa,Apparently,66,0.801,0.543,0.534,0.564,0.091,J. Cole,True
3Z3D2hnbZnveVhTuOifJyt,I See You,56,0.661,0.81,0.722,0.0884,0.0363,Luke Bryan,True
4wh0E9OwMCxcaIKTg0Mts9,Failure,60,0.462,0.89,0.383,2.99e-05,0.0382,Breaking Benjamin,True
3ZbSAHswIsfLH3im5Dc0t7,Just Gettin' Started,32,0.5,0.81,0.535,0.433,0.0887,Jason Aldean,True
33SNmD5kgiPrrTphzvxOkd,Make Me Wanna,29,0.542,0.822,0.633,0.0382,0.056,Thomas Rhett,True
4VrWlk8IQxevMvERoX08iC,Chandelier,76,0.399,0.787,0.572,0.0197,0.0499,Sia,True
4scpF6J5uMBvoh6sFB7EL1,No Type,72,0.888,0.483,0.226,0.013,0.154,Rae Sremmurd,False
5Mtt6tZSZA9cXTHGSGpyh0,The Blacker The Berry,58,0.553,0.852,0.27,0.00713,0.305,Kendrick Lamar,True
5FVuERsYqtKKAaWe62NBnv,Mean to Me,58,0.647,0.586,0.165,0.115,0.0313,Brett Eldredge,True
1s9xuJxhYM0LdVqksjegcg,Fairly Local,67,0.715,0.723,0.479,0.0396,0.0569,Twenty One Pilots,True
2dRvMEW4EwySxRUtEamSfG,The Heart Wants What It Wants,70,0.616,0.789,0.621,0.053,0.0377,Selena Gomez,True
3IQF4xCQUPicbA4hWfTxPo,I Lived,62,0.593,0.851,0.344,0.0683,0.0446,OneRepublic,True
4XPWKmy05Rcff6TLHNoNF8,Ghost,64,0.68,0.84,0.468,0.0457,0.0415,Ella Henderson,True
4PYiIgzcp4o5pEYji1xY9q,Masterpiece,61,0.661,0.733,0.613,0.0153,0.0433,Jessie J,True
3obQ7Qx6YZt8r1KvTv7uk3,What We Ain't Got,47,0.537,0.257,0.169,0.952,0.0344,Jake Owen,True
0El2Zyt68nYySFDG87hZgM,Sun Daze,62,0.477,0.952,0.867,0.103,0.0402,Florida Georgia Line,True
2eQQ7YHhROyqSPiMrTOuum,Like a Cowboy,54,0.511,0.687,0.172,0.254,0.0326,Randy Houser,True
1TKlBK9cSrM5u4CiL4SETS,Talladega,65,0.584,0.672,0.556,0.0538,0.0294,Eric Church,True
4rUTAkOU7OkVGeQuyQCHhF,Sledgehammer,63,0.671,0.777,0.289,0.0057,0.046,Fifth Harmony,True
2CY92qejUrhyPUASawNVRr,Try Me,54,0.56,0.81,0.247,0.0071,0.0872,DeJ Loaf,False
3hIj8xRM0tIfh0lXv5TgWK,Bang Bang,1,0.561,0.863,0.748,0.0147,0.0359,Death Blossoms,False
0bj0hCTYXv02xeSHyRXuYT,First Kiss,52,0.615,0.889,0.659,0.00388,0.0371,Kid Rock,True
4PhsKqMdgMEUSstTDAmMpg,Often,72,0.569,0.629,0.0726,0.218,0.0485,The Weeknd,True
2KrOAg6FftbjgSKdd2a4rS,You Are In Love,53,0.575,0.462,0.324,0.707,0.0353,Taylor Swift,True
2durxb17bXcmQJHSt8JAdO,No Tellin',60,0.827,0.477,0.558,0.535,0.275,Drake,True
18AJRdgUoO9EYn11N7xzaT,Habits (Stay High),66,0.733,0.65,0.348,0.0703,0.0315,Tove Lo,True
6RvRzl1YJTDnUvdOtV21IK,Wonderland,54,0.42,0.694,0.204,0.0438,0.0504,Taylor Swift,True
3a8tAZFJxlmBwOtrf5L1oC,6 God,61,0.857,0.639,0.477,0.0239,0.128,Drake,True
19OKWQPIupVomZOgBHvhV3,Take it On Back,50,0.558,0.814,0.672,0.0129,0.0645,Chase Bryant,False
2kP1ujXHn0mNqFbiT3zob8,What Kind Of Man,56,0.313,0.635,0.224,0.0229,0.0431,Florence + The Machine,True
2h6HdN3oPr4JijIQV29hv1,Shots,54,0.552,0.76,0.338,0.00713,0.0367,Imagine Dragons,False
4zLOwx1yRJXWkHKt1XzF1p,Now & Forever,56,0.575,0.515,0.0946,0.132,0.0324,Drake,True
4kdfjhj9xNkYU0R8xlDy8k,6 Man,58,0.798,0.529,0.368,0.227,0.482,Drake,True
1huvTbEYtgltjQRXzrNKGi,Don't,72,0.806,0.608,0.849,0.0113,0.0659,Ed Sheeran,True
10RQKVSr4rS0coExTmi4dF,Something in the Water,56,0.451,0.893,0.0971,0.0243,0.0627,Carrie Underwood,True
5k6V2PTv6fuU1l9kZuW5MJ,Shotgun Rider,41,0.46,0.898,0.734,0.119,0.0482,Tim McGraw,True
3sesq9P6ndjuqaq5om7sxT,I Put A Spell On You,54,0.568,0.355,0.291,0.419,0.0359,Annie Lennox,True
2gGIhNmn8NaUr3LNofUIBZ,Waves,56,0.364,0.278,0.2,0.542,0.0355,Mr. Probz,False
1T7AiFL9ruKKwlONN35Vh0,A Little Too Much,67,0.553,0.507,0.57,0.473,0.0304,Shawn Mendes,False
24tygl4LPQcQgeBe7qzY3n,God Made Girls,53,0.488,0.917,0.772,0.0897,0.0291,RaeLynn,False
6RtPijgfPKROxEzTHNRiDp,Rude,75,0.774,0.756,0.931,0.0423,0.0389,MAGIC!,True
1Lh8n5owE0h0hgqWfqtvuD,Til It's Gone,51,0.499,0.822,0.499,0.00544,0.049,Kenny Chesney,True
5NetSTs4dgiR6GLrZOQcwJ,Can't Stop Dancin',54,0.645,0.669,0.568,0.00545,0.0638,Becky G,False
14UE0L5fL5TL0ohEiAv56X,Perfect Storm,53,0.53,0.753,0.38,0.365,0.0346,Brad Paisley,True
2Bs4jQEGMycglOfWPBqrVG,Steal My Girl,70,0.536,0.768,0.545,0.00433,0.0347,One Direction,True
7ewfvLrlI0VNht4vEnoTMh,No Love,62,0.593,0.625,0.322,0.00448,0.148,"Nicki Minaj, August Alsina",False
2jiPHbFX5XM8TjaTfYJ0eo,Stolen Dance,74,0.885,0.581,0.728,0.427,0.0378,Milky Chance,True
2YtRUd3U4DvW3ul4TGJW8s,Somewhere In My Car,36,0.6,0.868,0.604,0.00637,0.0368,Keith Urban,True
3Bdqlr7jQLNhITAgcBGQBG,Close Your Eyes,50,0.551,0.863,0.817,0.0158,0.0322,Parmalee,True
3J5s5da5YngqxRzyQtoT3I,Best Friends,24,0.561,0.509,0.649,0.00557,0.235,Sophia Grace,False
2ZiJidFdQ30nVJEP4u44l3,Blank Space,61,0.437,0.863,0.233,0.00302,0.0941,I Prevail,True
289hx4t6fH2BBe8p6cnXo1,Neon Light,55,0.666,0.78,0.923,0.0189,0.048,Blake Shelton,True
6jizk5lOUnfpaZXYMdfeC6,Trumpets,65,0.627,0.703,0.64,0.563,0.236,Jason Derulo,False
5eqiMMbaeUZ32Q7sS00H35,Anaconda,63,0.964,0.605,0.646,0.0668,0.179,Nicki Minaj,True
0dSchkfNB8SzYj8Bx7bcCW,Try,57,0.61,0.367,0.546,0.804,0.0291,Colbie Caillat,True
2Zukohv1kW91bY2OUIXSct,Something Big,59,0.694,0.854,0.803,0.00614,0.043,Shawn Mendes,False
